Year;Total_schools_number;Total_students_thsds;Admitted_students_thsds;Graduated_thsds
1990;1246,00;643,40;380,50;376,70
1991;1285,00;648,40;377,40;338,10
1992;1282,00;647,20;367,90;307,10
1993;1211,00;629,40;340,80;307,00
1994;1197,00;572,80;286,00;288,40
1995;1179,00;555,20;300,50;277,30
1996;1156,00;539,70;304,20;274,80
1997;1003,00;528,10;311,20;264,50
1998;995,00;529,00;304,20;259,20
1999;980,00;527,70;307,30;263,50
2000;970,00;524,60;307,30;266,80
2001;965,00;512,30;309,10;278,80
2002;962,00;501,90;311,00;282,40
2003;953,00;493,10;311,20;275,60
2004;1011,00;507,30;327,60;283,40
2005;1023,00;496,60;314,20;286,60
2006;1021,00;473,80;303,70;289,30
2007;1022,00;454,40;299,20;285,10
2008;1018,00;443,60;288,10;269,60
2009;975,00;424,30;249,90;239,40
2010;976,00;433,50;282,90;247,40
2011;976,00;409,40;241,70;240,10
2012;972,00;423,30;241,80;202,10
2013;968,00;391,20;225,20;227,30
2014;814,00;315,60;178,00;182,00
2015;798,00;304,10;176,60;165,00
2016;787,00;285,80;157,90;152,80
2017;756,00;269,40;146,90;141,30
2018;736,00;255,00;136,60;133,50
2019;723,00;245,80;131,00;124,00
2020;711,00;246,90;127,90;114,10
2021;694,00;250,30;131,20;112,40
2022;670,00;236,70;110,60;110,60
